Id,LotArea,Street,Utilities,Neighborhood,Condition1,Condition2,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,YrSold,SaleType,SaleCondition
1486,8577,Pave,AllPub,Gilbert,Norm,Norm,1Fam,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,847,847,GasA,Ex,Y,SBrkr,847,886,1733,0,0,2,1,3,1,7,Typ,2010,WD,Normal
1487,17433,Pave,AllPub,NoRidge,Norm,Norm,1Fam,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1629,1629,GasA,Ex,Y,SBrkr,1645,830,2475,0,0,2,1,4,1,7,Typ,2010,WD,Normal
1488,8987,Pave,AllPub,Somerst,Norm,Norm,1Fam,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,NA,Unf,0,Unf,0,1595,1595,GasA,Ex,Y,SBrkr,1595,0,1595,0,0,2,0,2,1,6,Typ,2010,WD,Normal
1489,9215,Pave,AllPub,Somerst,Norm,Norm,1Fam,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1218,1218,GasA,Ex,Y,SBrkr,1218,0,1218,0,0,2,0,2,1,4,Typ,2010,New,Partial
1490,10440,Pave,AllPub,Somerst,Norm,Norm,1Fam,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,GLQ,1414,Unf,0,54,1468,GasA,Ex,Y,SBrkr,1468,0,1468,1,0,2,0,2,1,6,Typ,2010,WD,Normal
1491,11920,Pave,AllPub,SawyerW,Norm,Norm,1Fam,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,831,831,GasA,Ex,Y,SBrkr,831,828,1659,0,0,2,1,3,1,8,Typ,2010,WD,Normal
1492,9800,Pave,AllPub,SawyerW,Feedr,Norm,1Fam,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,816,816,GasA,TA,N,FuseA,1012,0,1012,0,0,1,0,2,1,5,Typ,2010,WD,Normal
1493,15410,Pave,AllPub,Sawyer,RRNe,Norm,1Fam,6,6,1974,2002,Hip,CompShg,Plywood,Plywood,TA,Gd,CBlock,TA,TA,Gd,BLQ,126,GLQ,859,223,1208,GasA,Ex,Y,SBrkr,1494,0,1494,1,0,2,0,3,1,7,Typ,2010,WD,Abnorml
1494,13143,Pave,AllPub,NoRidge,Norm,Norm,1Fam,8,5,1993,1993,Gable,CompShg,HdBoard,ImStucc,Gd,TA,PConc,Gd,TA,No,LwQ,250,GLQ,981,0,1231,GasA,Ex,Y,SBrkr,1251,1098,2349,1,0,2,1,4,1,9,Typ,2010,WD,Normal
1495,11134,Pave,AllPub,NoRidge,Norm,Norm,1Fam,8,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,Gd,TA,PConc,Gd,TA,No,GLQ,1129,Unf,0,261,1390,GasA,Ex,Y,SBrkr,1402,823,2225,1,0,2,1,4,1,7,Typ,2010,WD,Normal
1496,4835,Pave,AllPub,Somerst,Norm,Norm,TwnhsE,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,Ex,TA,Av,GLQ,1298,Unf,0,190,1488,GasA,Ex,Y,SBrkr,1488,0,1488,1,0,2,0,2,1,6,Typ,2010,WD,Normal
1497,3515,Pave,AllPub,Somerst,Norm,Norm,TwnhsE,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,840,840,GasA,Ex,Y,SBrkr,840,840,1680,0,0,2,1,2,1,3,Typ,2010,WD,Normal
1498,3215,Pave,AllPub,Somerst,Norm,Norm,TwnhsE,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,Av,GLQ,280,Unf,0,320,600,GasA,Ex,Y,SBrkr,600,600,1200,0,0,2,1,2,1,4,Typ,2010,ConLD,Normal
1499,2544,Pave,AllPub,Somerst,Norm,Norm,Twnhs,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,No,GLQ,368,ALQ,42,190,600,GasA,Ex,Y,SBrkr,600,600,1200,1,0,2,1,2,1,4,Typ,2010,WD,Normal
1500,2544,Pave,AllPub,Somerst,Norm,Norm,Twnhs,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,376,Unf,0,224,600,GasA,Ex,Y,SBrkr,600,636,1236,1,0,2,1,2,1,4,Typ,2010,WD,Normal
1501,2980,Pave,AllPub,Somerst,Norm,Norm,TwnhsE,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,No,GLQ,466,Unf,0,290,756,GasA,Ex,Y,SBrkr,756,756,1512,1,0,2,1,2,1,5,Typ,2010,WD,Normal
1502,2403,Pave,AllPub,Somerst,Norm,Norm,TwnhsE,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,244,Unf,0,286,530,GasA,Ex,Y,SBrkr,530,550,1080,0,0,2,1,2,1,4,Typ,2010,WD,Normal
1503,12853,Pave,AllPub,Somerst,Norm,Norm,1Fam,8,5,2010,2010,Gable,CompShg,CemntBd,CmentBd,Gd,TA,PConc,Ex,Po,No,GLQ,1032,Unf,0,610,1642,GasA,Ex,Y,SBrkr,1418,0,1418,1,0,1,1,1,1,6,Typ,2010,New,Partial
1504,7379,Pave,AllPub,Somerst,Norm,Norm,1Fam,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,484,Unf,0,491,975,GasA,Ex,Y,SBrkr,975,873,1848,1,0,2,1,3,1,7,Typ,2010,WD,Normal
1505,8000,Pave,AllPub,Somerst,Norm,Norm,1Fam,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,833,Unf,0,659,1492,GasA,Ex,Y,SBrkr,1492,0,1492,1,0,2,0,3,1,6,Typ,2010,WD,Normal
1506,10456,Pave,AllPub,NWAmes,Norm,Norm,1Fam,6,6,1967,1967,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,GLQ,506,Unf,0,1323,1829,GasA,Gd,Y,SBrkr,1829,0,1829,1,0,2,0,4,1,8,Typ,2010,WD,Normal
1507,10791,Pave,AllPub,NWAmes,Norm,Norm,1Fam,6,5,1993,1993,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,Gd,TA,Mn,GLQ,1137,Unf,0,143,1280,GasA,Ex,Y,SBrkr,1280,1215,2495,1,0,2,1,4,1,9,Typ,2010,WD,Normal
1508,18837,Pave,AllPub,NWAmes,Norm,Norm,1Fam,6,5,1978,1978,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,Gd,TA,Mn,ALQ,687,LwQ,46,491,1224,GasA,TA,Y,SBrkr,1287,604,1891,0,1,3,0,3,1,7,Typ,2010,WD,Normal
1509,9600,Pave,AllPub,NWAmes,Norm,Norm,1Fam,6,6,1971,1971,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,ALQ,329,Unf,0,386,715,GasA,TA,Y,SBrkr,930,715,1645,0,0,1,2,4,1,7,Typ,2010,WD,Normal
1510,9600,Pave,AllPub,NAmes,Norm,Norm,1Fam,5,5,1966,1966,Hip,CompShg,VinylSd,VinylSd,TA,TA,CBlock,TA,TA,No,Rec,698,Unf,0,534,1232,GasA,TA,Y,SBrkr,1232,0,1232,1,0,1,1,3,1,6,Typ,2010,WD,Normal
1511,9900,Pave,AllPub,NAmes,Norm,Norm,1Fam,5,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,TA,TA,PConc,Gd,TA,No,BLQ,1059,Unf,0,150,1209,GasA,Gd,Y,SBrkr,1209,0,1209,1,0,1,0,3,1,6,Typ,2010,ConLD,Normal
1512,9680,Pave,AllPub,NAmes,Norm,Norm,1Fam,5,6,1967,1967,Gable,CompShg,Wd Sdng,Plywood,TA,TA,CBlock,TA,TA,No,BLQ,1010,Unf,0,500,1510,GasA,Ex,Y,SBrkr,1510,0,1510,1,0,2,0,3,1,6,Typ,2010,WD,Normal
1513,10600,Pave,AllPub,NAmes,Norm,Norm,1Fam,6,5,1964,1964,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,533,533,GasA,TA,Y,SBrkr,1131,644,1775,0,0,2,0,3,1,8,Typ,2010,COD,Family
1514,13260,Pave,AllPub,NAmes,Norm,Norm,Duplex,5,6,1962,2001,Hip,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,BLQ,1500,Unf,0,228,1728,GasA,TA,Y,SBrkr,1728,0,1728,2,0,2,0,6,2,10,Typ,2010,Oth,Abnorml
1515,9724,Pave,AllPub,NAmes,Norm,Norm,1Fam,5,7,1952,2002,Gable,CompShg,MetalSd,MetalSd,Gd,TA,CBlock,TA,TA,No,LwQ,670,Unf,0,470,1140,GasA,Gd,Y,SBrkr,1929,532,2461,0,0,2,0,3,1,7,Min2,2010,WD,Normal
1516,17360,Pave,AllPub,NAmes,Artery,Norm,1Fam,6,6,1949,1950,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,No,Rec,300,Unf,0,482,782,GasA,TA,Y,SBrkr,1019,537,1556,0,0,2,0,3,1,6,Typ,2010,WD,Normal
1517,11380,Pave,AllPub,NAmes,Norm,Norm,1Fam,6,8,1966,2008,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Gd,GLQ,944,Unf,0,136,1080,GasA,Gd,Y,SBrkr,1128,0,1128,1,0,1,0,2,1,5,Typ,2010,WD,Normal
1518,8267,Pave,AllPub,NAmes,Feedr,Norm,Duplex,5,5,1958,1958,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1604,1604,GasA,TA,Y,SBrkr,1604,0,1604,0,0,2,0,4,2,8,Typ,2010,WD,Normal
1519,8197,Pave,AllPub,NAmes,Norm,Norm,1Fam,7,5,2003,2009,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,1188,Unf,0,292,1480,GasA,Ex,Y,SBrkr,1480,0,1480,1,0,2,0,3,1,7,Typ,2010,WD,Normal
1520,8050,Pave,AllPub,NAmes,Norm,Norm,1Fam,5,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,BLQ,856,Rec,162,125,1143,GasA,TA,Y,SBrkr,1143,0,1143,1,0,1,0,3,1,6,Typ,2010,WD,Normal
1521,10725,Pave,AllPub,NAmes,Norm,Norm,1Fam,5,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,Rec,936,Unf,0,270,1206,GasA,Fa,Y,SBrkr,1206,0,1206,0,0,1,0,3,1,6,Typ,2010,WD,Normal
1522,10032,Pave,AllPub,NAmes,Norm,Norm,1Fam,6,5,1959,1959,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,734,Unf,0,510,1244,GasA,Ex,Y,SBrkr,1580,0,1580,1,0,1,1,3,1,6,Typ,2010,WD,Normal
1523,8382,Pave,AllPub,NAmes,Norm,Norm,1Fam,4,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,832,832,GasA,TA,Y,FuseA,832,505,1337,0,0,1,0,3,1,5,Typ,2010,WD,Normal
1524,10950,Pave,AllPub,NAmes,Norm,Norm,1Fam,5,7,1952,1952,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,TA,TA,No,BLQ,339,Unf,0,525,864,GasA,TA,Y,SBrkr,1064,0,1064,0,1,1,0,2,1,4,Typ,2010,WD,Normal
1525,10895,Pave,AllPub,NAmes,Norm,Norm,1Fam,5,6,1955,1955,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,No,Rec,648,Unf,0,324,972,GasA,TA,Y,SBrkr,972,0,972,0,0,1,0,3,1,5,Typ,2010,WD,Normal
1526,13587,Pave,AllPub,NAmes,Norm,Norm,2fmCon,5,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Av,Rec,532,Unf,0,456,988,GasA,TA,Y,SBrkr,988,0,988,1,0,1,0,2,1,5,Typ,2010,WD,Abnorml
1527,7898,Pave,AllPub,NAmes,Norm,Norm,1Fam,4,7,1920,1994,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,576,576,GasA,Gd,Y,SBrkr,985,0,985,0,1,1,0,2,1,4,Typ,2010,WD,Normal
1528,8064,Pave,AllPub,NAmes,Artery,Norm,1Fam,6,8,1948,2004,Gable,CompShg,WdShing,Wd Shng,TA,TA,CBlock,TA,TA,No,ALQ,481,Rec,174,161,816,GasA,TA,Y,SBrkr,816,408,1224,1,0,1,0,3,1,5,Typ,2010,WD,Normal
1529,7635,Pave,AllPub,NAmes,Norm,Norm,1Fam,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,588,LwQ,350,237,1175,GasA,Ex,Y,SBrkr,1175,0,1175,0,0,1,1,3,1,6,Typ,2010,WD,Normal
1530,9760,Pave,AllPub,NAmes,Norm,Norm,1Fam,6,7,1963,1984,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Gd,BLQ,717,LwQ,263,415,1395,GasA,TA,Y,SBrkr,1395,0,1395,1,0,1,0,2,1,7,Min1,2010,WD,Normal
1531,4800,Pave,AllPub,OldTown,Norm,Norm,1Fam,4,5,1900,1954,Hip,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,No,ALQ,48,Unf,0,661,709,GasA,TA,Y,SBrkr,1157,687,1844,1,0,1,0,3,1,9,Min2,2010,COD,Abnorml
1532,4485,Pave,AllPub,OldTown,Artery,Norm,1Fam,5,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,No,BLQ,579,Unf,0,357,936,GasA,TA,Y,SBrkr,936,0,936,1,0,1,0,2,1,5,Typ,2010,WD,Normal
1533,5805,Pave,AllPub,OldTown,Norm,Norm,1Fam,5,7,1957,1957,Hip,CompShg,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Mn,BLQ,274,Rec,1073,0,1347,GasA,Gd,Y,SBrkr,1347,0,1347,1,1,1,0,3,1,6,Typ,2010,WD,Normal
1534,6900,Pave,AllPub,OldTown,Norm,Norm,1Fam,6,7,1938,2000,Gable,CompShg,MetalSd,MetalSd,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,827,827,GasA,Gd,Y,SBrkr,827,424,1251,0,0,1,0,3,1,6,Typ,2010,WD,Normal
1535,11851,Pave,AllPub,OldTown,Artery,Norm,1Fam,5,7,1948,2009,Gable,CompShg,VinylSd,VinylSd,TA,Gd,BrkTil,TA,TA,No,BLQ,780,Unf,0,247,1027,GasA,Ex,Y,SBrkr,1027,606,1633,0,0,1,0,3,1,7,Typ,2010,WD,Normal
1536,8239,Pave,AllPub,OldTown,Artery,Norm,1Fam,5,6,1920,1962,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,Rec,176,Unf,0,832,1008,GasA,TA,Y,SBrkr,1060,185,1245,0,0,1,0,3,1,6,Typ,2010,WD,Normal
1537,9656,Pave,AllPub,OldTown,Norm,Norm,1Fam,2,2,1923,1970,Gable,CompShg,AsbShng,AsbShng,TA,Fa,BrkTil,Fa,Fa,No,Unf,0,Unf,0,678,678,GasA,TA,N,SBrkr,832,0,832,0,0,1,0,2,1,5,Typ,2010,WD,Abnorml
1538,9600,Pave,AllPub,OldTown,Norm,Norm,1Fam,8,9,1900,2003,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,930,930,GasW,TA,N,SBrkr,930,636,1566,0,0,2,0,3,1,7,Typ,2010,WD,Abnorml
1539,9000,Pave,AllPub,OldTown,Norm,Norm,1Fam,8,9,1890,2002,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,Gd,Stone,Fa,Fa,No,Unf,0,Unf,0,346,346,GasA,Ex,Y,SBrkr,1157,1111,2268,0,0,3,0,3,1,7,Typ,2010,WD,Normal
1540,9045,Pave,AllPub,OldTown,Norm,Norm,2fmCon,5,3,1910,1950,Gable,CompShg,MetalSd,MetalSd,TA,Fa,BrkTil,TA,TA,Mn,Unf,0,Unf,0,840,840,Grav,Fa,N,FuseF,1128,1128,2256,0,0,2,0,4,2,12,Typ,2010,WD,Abnorml
1541,10560,Pave,AllPub,OldTown,Norm,Norm,1Fam,6,7,1922,1994,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,CBlock,Fa,TA,No,Rec,283,Unf,0,455,738,GasA,Ex,Y,SBrkr,868,602,1470,0,0,1,1,2,1,6,Min1,2010,WD,Normal
1542,5830,Pave,AllPub,BrkSide,Feedr,Feedr,1Fam,5,6,1950,1997,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,No,Rec,788,Unf,0,200,988,GasA,Ex,Y,SBrkr,1030,582,1612,0,0,1,1,3,1,7,Typ,2010,WD,Normal
1543,7793,Pave,AllPub,BrkSide,Norm,Norm,1Fam,7,7,1922,2005,Gable,CompShg,Wd Sdng,Wd Sdng,TA,TA,BrkTil,Gd,TA,No,BLQ,474,Unf,0,634,1108,GasA,TA,N,FuseA,1160,908,2068,0,0,1,1,3,1,8,Typ,2010,WD,Normal
1544,5000,Pave,AllPub,BrkSide,Feedr,Norm,1Fam,4,7,1925,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,Rec,188,Unf,0,577,765,GasA,TA,N,FuseF,765,0,765,1,0,1,0,2,1,4,Typ,2010,WD,Normal
1545,6000,Pave,AllPub,BrkSide,Norm,Norm,1Fam,6,7,1939,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,Gd,No,BLQ,452,LwQ,12,144,608,GasA,TA,Y,SBrkr,608,524,1132,1,0,1,0,2,1,5,Typ,2010,WD,Abnorml
1546,6000,Pave,AllPub,BrkSide,Norm,Norm,1Fam,6,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,No,LwQ,264,Unf,0,308,572,GasA,Ex,Y,FuseA,848,348,1196,0,1,1,1,3,1,6,Typ,2010,WD,Normal
